Title,Perusahaan,Kategori,Lokasi,Skills
Helpdesk IT,PT. Borneo Twindo Group,IT Support,Bengkayang,"Javascript, MySQL, Html, Css, Java Android, Bahasa Pemrograman JavaScript dan Pyton"
Staff Teknik Informatika /Programmer,PT Anugerah Nusa Dinamika (AND Learning & Coaching),IT Support,Bandung Barat,"Mahir dan menguasai microsoft word dan microsoft excell skill expert, Menguasai internet database,"
Software Testing / Quality Assurance,PT Avatar Solusi Digital,Software Consultant,Jakarta Timur,"Software, Quality Assurance"
React Native Developer,PT SHANKARA CABOT BAJRA DANAPATI,Programmer / Software Development,Bandung Kabupaten,"Software, Technology Information and Communication"
Front End Developer - Next JS,PT SHANKARA CABOT BAJRA DANAPATI,Front End Developer,Bandung Kabupaten,"Software, Docker, Typescript, Tailwind, Technology Information and Communication, react, Codeigniter, Laravel, VueJS, NestJS, NextJS, Wordpress, Adaptif dan Tangguh dalam Tekanan"
QA Engineer,PT SHANKARA CABOT BAJRA DANAPATI,Software Testing & QA,Bandung Kabupaten,"Tanggap cekatan dengan pekerjaan, Tangguh dalam Tekanan, empati, analisis, berpikir kritis, dan kecerdasan emosiona"
Flutter Developer,PT SHANKARA CABOT BAJRA DANAPATI,Flutter Developer,Bandung Kabupaten,"Software, Technology Information and Communication"
IT Support,PT. Subaga Digital Medika,IT Support,Bandung Kota,"ERP, MySQL PostgreeSQL, VUEJS, Laravel"
Sales Corporate,PT. Mandiri Artha Solusi,Sales Corporate,Bekasi,"Negosiasi, Komunikasi dan negosiasi dengan baik."
Website Administrator / Web Development,Inti Sentosa Bersama,Web Administrator,Jakarta Pusat,"Wordpress Baik Ahli dalam membuat website melalui CMS, 2)	Pengetahuan  memgembangkan toko online :      a) WordPress /WooCommerce: instal, mengonfigurasi theme, dan menambahkan plugin."
Full Stack Programmer,PT. Abelindo Multi Digital,Full Stack Developer,Blitar,"PHP, PHP Codeigniter, native, css, Javascript JQuery, PHP, CodeIgniter, Laravel, Panada, codeiginiter, Familiar dengan HTML, Javascript and PHP codeigniter programming languages - Familiar dengan SQL server database or MySQL - Familiar dengan Api Restfull API JSON - Terbiasa dengan management source coderepository baik clone atau by git, Laravel"
Staff Pengembangan Jaringan,PT ITEP TECHNOLOGY INDONESIA,Teknisi Jaringan,Jakarta Selatan,"Negosiasi, Analisa pasar, Komunikasi"
Product Specialis,Askara Advertensi Internasional,Penjualan & Konsultan IT,Jakarta Pusat,"Presentation, product consultant, Accounting Knowledge"
Sales,PT. APPSKU APLIKASI INDONESIA,Sales Executive,Remote,"Negosiasi, Sales, Sales and Marketing, upsell"
IT Web Programmer,Ryucargo,Web Programmer,Jakarta Utara,"MySQL, Html, CSS, HTML, Bootstrap, Materialize"
Tim Instalasi,PT Matawari Lintas Nusa,Teknisi Jaringan,Medan,"bekerja di ketinggian, bisa menggunakan komputer"
Teknisi Laptop/Komputer,WIRA MAKMUR PRATAMA,Teknisi Komputer,Jakarta Selatan,"PC Installation, PC HARDWARE AND SOFTWARE Troubleshoot"
Backend Developer,PT. Meroket Bersama Iyote,Back End Developer,Depok,"MySQL, Python, Database PostgreSQL, FastAPI"
Junior Website Developer,IGB Media,Web Developer,Surabaya,"PHP, CSS3, HTML5, Javascript, Codeigniter PHP Framework, PHP, CodeIgniter, Laravel, Panada"
IT Support,CV Media Supply Indonesia,IT Support,Surabaya,"IT Support Analyze, Troubleshoot, Installing"
IT Support,PT JAYA NIAGA SEJAHTERA,IT Support,Jakarta Barat,"Network, Cctv"
Teknisi,PT Cybersama Technology,IT Support,Jakarta Utara,Tekhnisi CCTV Jaringan.
Software Developer Internship,PT Tourin Wisata Global,Software Developer,Jakarta Pusat,"Web developer, Mobile Application Developer, FLUTTER DART, NODE JS, laravel api"
Staff Data Annotation,Alpha Innovation Technology,Data Science & AI,Kabupaten Tangerang,"Software, Presentasi dan Komunikasi"
Admin IT Support,PT BPR Gunung Arjuna,IT Support,Malang,"Komunikasi, excel"
Teknisi IKR,PT. Rizki Prima Sakti,Teknisi Jaringan,Banjarmasin,"Memiliki kemampuan dan pengetahuan pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicing, OPM, OTDR, OLS"
IT Support,PT Tirta Niaga Timur,IT Support,Jakarta Utara,"MAINTENACE Hardware Komputer, Instal repair computer software, hardware computer, Servis dan Perbaikan Printer"
