Title,Perusahaan,Kategori,Lokasi,Skills
"Customer Relation - Antapani Kidul, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Sindang Jaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Maleber, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Ciroyom, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Cisaranten Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Garuda, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Dungus Cariang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Kebon Jeruk, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Campaka, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Kebon Pisang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
ISO/EHS Officer,Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"kemampuan implementasi, Menerapkan standar ISO, Problem Solving, Microsoft Excel, Microsoft Office, Microsoft PowerPoint, Berpikir kritis"
QUALITY ENGINEERING BIKE,Shimano Batam,"Teknik, Mesin",KOTA BATAM,"Final Cut Pro, Microsoft Excel, Microsoft Office, TEKNIK MESIN"
Admin Office,Grandtex Jaya Indonesia,Bagian Umum,KOTA BANDUNG,"Microsoft Excel, Microsoft Office, Data Management"
PURCHASING STAFF,Shimano Batam,"TI, Administrator",KOTA BATAM,"menggunakan komputer, Kemampuan berkomunikasi, Microsoft Excel, System Administration, Microsoft Office, Microsoft PowerPoint"
COMMUNITY OFFICER - LAMPUNG,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KAB. LAMPUNG SELATAN,"Communication Skills, Marketing Communications, Community Management"
Sales Executive Penempatan Kota Bukittinggi,Tjahaja Baru Abadi,Penjualan dan Pemasaran,KOTA PADANG,"Negotiation, Microsoft Excel, Microsoft Office, Sales & Marketing"
FOOD SAFETY & HYGIENE QC,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"safety protocol, Microsoft Office, Risk Analysis"
QC GENERAL CLEANING (WITH BACKGROUND CRUISE SHIPS),PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PROCESS MAINTENANCE SHOP / REBUILD SHOP,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PROCESS MAINTENANCE CONTROL AND INSTRUMENTATION,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PLC / DCS,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR - PROCESS OPERATIONS,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR MECHANICAL MAINTENANCE UPSTREAM,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SENIOR ENGINEER - ELECTRICAL,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Risk Analysis
SHIFT METALLURGY,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Metalurgi",KAB. SUMBAWA BARAT,Microsoft Office
TECHNICIAN - MECHANICAL,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Mesin",KAB. SUMBAWA BARAT,Interface Design
TECHNICIAN - ELECTRICAL,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Elektro",KAB. SUMBAWA BARAT,Patents
SPECIALIST DIGITAL MARKETING & CUSTOMER ENGAGEMENT,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
SENIOR SPECIALIST INVOICE & COST CONTROL,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
SENIOR SPECIALIST INTERNAL CUSTOMS AUDIT,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
Office Manager,PT Mega Metalindo Abadi,Manufaktur dan Produksi,KOTA PANGKAL PINANG,"Microsoft Excel, Microsoft Office"
Junior / Senior Chief HSSE,PT. Standard Toyo Polymer,Manufaktur dan Produksi,KOTA CILEGON,"Environment, K3, Regu Pemadam C, Safety Officer"
Admin Ekspedisi,PT Saranagriya Lestari Keramik (Milan Ceramics Tile),Operasi Gudang,KOTA BEKASI,"Microsoft Office, Office Admin, SAP"
OPERATOR CNC ROUTER,PT Tedmoninndo Pratamasemesta,Manufaktur dan Produksi,KAB. SIDOARJO,"Design, Cad"
Climate Finance Analyst,Perusahaan Perseroan (Persero) PT. Sarana Multi Infrastruktur,Penelitian dan Manajemen Kualitas,KOTA ADM. JAKARTA PUSAT,"Research, Financial Modelling & Valuation"
Operations Assistant & Translator Mandarin,PT Doo Financial Futures,Administrasi & Customer Relationship,KOTA ADM. JAKARTA SELATAN,"Microsoft Excel, Simplified Chinese Language, Sales & Marketing, Operations"
KARYAWAN PENGIRIMAN SIM A/B+C,PT. Wira Mitramas Sejati,Supir,KOTA ADM. JAKARTA BARAT,Microsoft Office
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,KAB. GIANYAR,"Disiplin, mengitung, komunikasi, intregitas, Jujur, Customer Service"
Pembuat Rokok Kretek,Kharisma Indah Bestari,Manufaktur dan Produksi,KAB. MAJALENGKA,Sales & Marketing
IT Technical Support and Ops,Teleakses Solusindo,"Teknik, Telekomunikasi",KOTA ADM. JAKARTA PUSAT,Java J2EE
Staff K3 / HSE,PT. Nose Herbalindo,Manajemen Pabrik,KAB. BOGOR,"Public Relations, Microsoft Office"
Customer Support Group,PT. Multi Teknindo Infotronika,"Teknik, Elektro",KOTA ADM. JAKARTA SELATAN,Operations
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,KOTA SALATIGA,"mekanik, komunikasi skill, Kerjasama Tim"
"BARISTA,WAITRES",PT Anugrah Bali Kulina,Operasi Restoran,KAB. BADUNG,Microsoft Office
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,KOTA SALATIGA,"mekanik, komunikasi skill, Up Selling, cross selling"
Staf Engineering (Teknis & Administratif Proyek),Karunia Adi Sentosa,"Teknik, Sipil",KOTA ADM. JAKARTA BARAT,Risk Analysis
Kebutuhan Store Crew Boy dan Store Crew Girl,PT Indomarco Prismatama,Operasi Ritel,KAB. KLATEN,"Microsoft Excel, Microsoft Office"
Sales Promotor Kudus (Online Walkin Interview Jawa Tengah),PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,"Retail Management, Salesforce"
Factory Automation Engineer,PT Posco Dx Indonesia,IT,KAB. SERANG,C
Kebutuhan Store Crew Boy dan Store Crew Girl,PT Indomarco Prismatama,Operasi Ritel,KAB. KLATEN,Microsoft Office
BARISTA KELILING KOPI RASA MANTAP,PT Jmax Indonesia,Penjualan dan Pemasaran,KOTA ADM. JAKARTA PUSAT,Digital Marketing
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,KAB. BADUNG,"Bahasa Inggris, komunikasi, Teamwork, Customer Service"
Sales Promotor Kudus,PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,Sales & Marketing
Sales Engineer,PT. Multi Teknindo Infotronika,Penjualan dan Pemasaran,KOTA ADM. JAKARTA SELATAN,Digital Marketing
Senior Manager of Accounting & Tax,Dayup Indo,Akuntan Perpajakan,KOTA ADM. JAKARTA UTARA,"XHTML, Microsoft Excel, Microsoft Windows, Microsoft Office, Data Management, Compensation & Benefits, accurate, Risk Analysis, coretax, E-SPT"
Driver,Konimex,Supir,KAB. SUKOHARJO,driving
Petugas Analisa Laboratorium,Konimex,Laboratorium,KAB. SUKOHARJO,ketelitian dan akurasi
Project Manager,Citra Bahasa Global,Marketing dan Relasi Publik,KOTA ADM. JAKARTA TIMUR,"Microsoft Office, English Language, Communications, Design, Teamwork, Leadership, Project Management"
Staff Engineer Project (Elektro/Energi Terbarukan),PT Reja Aton Energi,"Teknik, Elektro",KAB. SIDOARJO,"Teknik Energi Terbarukan, Teamwork, Autocad, Tenaga Surya, teknik elektro"
Supervisor Sales Engineer,PT Reja Aton Energi,"Teknik, Elektro",KAB. SIDOARJO,"Project Leader, Microsoft Office, Autocad, Leadership, Instalasi sistem kelistrikan, teknik elektro"
Crew Outlet,PT. Modular Kuliner Indonesia,Operasi Restoran,KOTA YOGYAKARTA,Memasak
IT Support,Citra Bahasa Global,"TI, Programmer",KOTA ADM. JAKARTA TIMUR,"software, Hardware Engineering"
Marketing Kredit,Bank Perkreditan Rakyat Restu Dewata,Penjualan dan Pemasaran,KAB. TABANAN,"Marketing, Communication Skills, Teamwork, Marketing Communications"
HSE Manager,PT. Indorama Petrochemicals,"Teknik, Keselamatan",KOTA CILEGON,"Microsoft Excel, Microsoft Office, Microsoft PowerPoint, SAP"
Sales Indoor/Sales Admin,PT Eterna Karya Sejahtera,Pembelian / Purchasing,KOTA ADM. JAKARTA PUSAT,"Microsoft Office, Databases, Sales & Marketing"
Tax Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",KOTA ADM. JAKARTA SELATAN,"Microsoft Excel, Microsoft Office, Data Management, Compensation & Benefits, Databases, Risk Analysis"
Product Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",KOTA ADM. JAKARTA SELATAN,"Technology, Microsoft Office"
Finance Officer,PT. Senayan Trikarya Sempana,Akuntansi & Keuangan,KOTA ADM. JAKARTA PUSAT,"Accounting, Accounts Receivable, Microsoft Excel, Microsoft Office, English Language"
Ahli Gizi,PT. Rumah Sakit Pelni,Kesehatan dan Medis,KOTA ADM. JAKARTA BARAT,gizi
Juru Masak,PT. Rumah Sakit Pelni,Juru Masak,KOTA ADM. JAKARTA BARAT,Microsoft Office
Dokter Umum,PT. Rumah Sakit Pelni,Dokter Umum,KOTA ADM. JAKARTA BARAT,Microsoft Office
Petugas Gudang,Konimex,Operasi Gudang,KAB. SUKOHARJO,Data Warehouse
Leasing Executive untuk Plaza Senayan,PT. Senayan Trikarya Sempana,Penjualan dan Pemasaran,KOTA ADM. JAKARTA PUSAT,"Negotiation, Microsoft Office, English Language, Communications, Market Research & Analysis"
Petugas produksi,Konimex,Manufaktur dan Produksi,KAB. SUKOHARJO,Mampu mengikuti instruksi kerja
Field Inspector (Mekanik),PT. Jba Indonesia,"Teknik, Mesin",KOTA SEMARANG,"Mengetahui tentang kendaraan roda 2 & roda 4, dapat mengendarai mobil, Mempunyai SIM A"
Supervisor Provider - Solo/Surakarta,Proxcare Solusi Global Outsourcing,Penjualan dan Pemasaran,KOTA SURAKARTA,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Mitra Kurir Motor - Kab Kudus,PT. Tri Adi Bersama,Logistik,KAB. CILACAP,Microsoft Office
Sales Promotor (Kudus),PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,"Retail Management, Sales & Marketing"
Account Officer (Kademangan - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer (Talun - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer (Wlingi - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Mill Foreman,PT Bungasari Flour Mills Indonesia - Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"GMP, Microsoft Office, Flour Milling"
Marketing Staff,PT Valbury Asia Futures,Telemarketing,KAB. BANDUNG,"Marketing, Content Marketing, Trade Marketing, Online Marketing, Digital Marketing"
SPG/SPB Event - Surabaya,PT Infomedia Solusi Humanika Pontianak,Penjualan dan Pemasaran,KOTA SURABAYA,Sales & Marketing
Pramuniaga (Gadai),Solusi Gadai Pintar,Penjualan dan Pemasaran,KOTA ADM. JAKARTA UTARA,"Sales & Marketing, gadai, Sales"
COMMUNITY OFFICER - JAWA TIMUR,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA SURABAYA,Marketing Communications
Sales Representative,Finartindo Kriya Abadi,Penjualan dan Pemasaran,KAB. TANGERANG,"Communication, Negotiation, Microsoft Office, Sales & Marketing"
Crew Dcrepes Balikpapan,PT. Jaddi Globalindo,Operasi Restoran,KOTA BALIKPAPAN,"cook, komunikasi, Customer Service"
Staff Business Consultant (BC),PT. Rifan Financindo Berjangka Semarang,Marketing dan Relasi Publik,KOTA SEMARANG,"Marketing, Sales Strategy & Management, Microsoft Office, Public Speaking & Presentations, Communication Skills, Marketing Strategy, Marketing Management, Sales & Marketing, Marketing Communications"
ENGINEER - ISTRUMENTATION,PT. Amman Mineral Industri/84457,"Teknik, Elektro",KAB. SUMBAWA BARAT,"Microsoft Office, SAP"
Account Officer Blitar JawaTimur,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
