Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
"Customer Relation - Antapani Wetan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Antapani Kidul, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Sindang Jaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Maleber, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Ciroyom, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Cisaranten Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Garuda, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Dungus Cariang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Kebon Jeruk, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Campaka, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Kebon Pisang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
ISO/EHS Officer,Shimano Batam,Manufaktur dan Produksi,Batam,"kemampuan implementasi, Menerapkan standar ISO, Problem Solving, Microsoft Excel, Microsoft Office, Microsoft PowerPoint, Berpikir kritis",1.1030815,104.0383696,NON-IPTEK
QUALITY ENGINEERING BIKE,Shimano Batam,"Teknik, Mesin",Batam,"Final Cut Pro, Microsoft Excel, Microsoft Office, TEKNIK MESIN",1.1030815,104.0383696,IPTEK
Admin Office,Grandtex Jaya Indonesia,Bagian Umum,Bandung,"Microsoft Excel, Microsoft Office, Data Management",-6.9218457,107.6070833,NON-IPTEK
PURCHASING STAFF,Shimano Batam,"TI, Administrator",Batam,"menggunakan komputer, Kemampuan berkomunikasi, Microsoft Excel, System Administration, Microsoft Office, Microsoft PowerPoint",1.1030815,104.0383696,NON-IPTEK
Sales Executive Penempatan Kota Bukittinggi,Tjahaja Baru Abadi,Penjualan dan Pemasaran,Padang,"Negotiation, Microsoft Excel, Microsoft Office, Sales & Marketing",-0.9247587,100.3632561,NON-IPTEK
Office Manager,PT Mega Metalindo Abadi,Manufaktur dan Produksi,Pangkal Pinang,"Microsoft Excel, Microsoft Office",-2.1206733,106.1134604,NON-IPTEK
Junior / Senior Chief HSSE,PT. Standard Toyo Polymer,Manufaktur dan Produksi,Cilegon,"Environment, K3, Regu Pemadam C, Safety Officer",-6.017389,106.0537688,NON-IPTEK
Admin Ekspedisi,PT Saranagriya Lestari Keramik (Milan Ceramics Tile),Operasi Gudang,Bekasi,"Microsoft Office, Office Admin, SAP",-6.2349858,106.9945444,NON-IPTEK
OPERATOR CNC ROUTER,PT Tedmoninndo Pratamasemesta,Manufaktur dan Produksi,Sidoarjo,"Design, Cad",-7.4709917,112.7235568,NON-IPTEK
Climate Finance Analyst,Perusahaan Perseroan (Persero) PT. Sarana Multi Infrastruktur,Penelitian dan Manajemen Kualitas,Jakarta,"Research, Financial Modelling & Valuation",-6.1754049,106.827168,NON-IPTEK
Operations Assistant & Translator Mandarin,PT Doo Financial Futures,Administrasi & Customer Relationship,Jakarta,"Microsoft Excel, Simplified Chinese Language, Sales & Marketing, Operations",-6.1754049,106.827168,NON-IPTEK
KARYAWAN PENGIRIMAN SIM A/B+C,PT. Wira Mitramas Sejati,Supir,Jakarta,Microsoft Office,-6.1754049,106.827168,NON-IPTEK
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,Gianyar,"Disiplin, mengitung, komunikasi, intregitas, Jujur, Customer Service",-8.5392047,115.3223725,NON-IPTEK
Pembuat Rokok Kretek,Kharisma Indah Bestari,Manufaktur dan Produksi,Majalengka,Sales & Marketing,-6.8318924,108.2151433,NON-IPTEK
IT Technical Support and Ops,Teleakses Solusindo,"Teknik, Telekomunikasi",Jakarta,Java J2EE,-6.1754049,106.827168,IPTEK
Staff K3 / HSE,PT. Nose Herbalindo,Manajemen Pabrik,Bogor,"Public Relations, Microsoft Office",-6.5453875,107.001782,NON-IPTEK
Customer Support Group,PT. Multi Teknindo Infotronika,"Teknik, Elektro",Jakarta,Operations,-6.1754049,106.827168,NON-IPTEK
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,Salatiga,"mekanik, komunikasi skill, Kerjasama Tim",-7.3302642,110.4995353,NON-IPTEK
"BARISTA,WAITRES",PT Anugrah Bali Kulina,Operasi Restoran,Badung,Microsoft Office,-8.6504958,115.2696404,NON-IPTEK
