Title,Perusahaan,Kategori,Lokasi,Skills
"Customer Relation - Campaka, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Kebon Pisang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
ISO/EHS Officer,Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"kemampuan implementasi, Menerapkan standar ISO, Problem Solving, Microsoft Excel, Microsoft Office, Microsoft PowerPoint, Berpikir kritis"
QUALITY ENGINEERING BIKE,Shimano Batam,"Teknik, Mesin",KOTA BATAM,"Final Cut Pro, Microsoft Excel, Microsoft Office, TEKNIK MESIN"
Admin Office,Grandtex Jaya Indonesia,Bagian Umum,Bandung,"Microsoft Excel, Microsoft Office, Data Management"
PURCHASING STAFF,Shimano Batam,"TI, Administrator",KOTA BATAM,"menggunakan komputer, Kemampuan berkomunikasi, Microsoft Excel, System Administration, Microsoft Office, Microsoft PowerPoint"
COMMUNITY OFFICER - LAMPUNG,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KAB. LAMPUNG SELATAN,"Communication Skills, Marketing Communications, Community Management"
Sales Executive Penempatan Kota Bukittinggi,Tjahaja Baru Abadi,Penjualan dan Pemasaran,KOTA PADANG,"Negotiation, Microsoft Excel, Microsoft Office, Sales & Marketing"
FOOD SAFETY & HYGIENE QC,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"safety protocol, Microsoft Office, Risk Analysis"
QC GENERAL CLEANING (WITH BACKGROUND CRUISE SHIPS),PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PROCESS MAINTENANCE SHOP / REBUILD SHOP,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PROCESS MAINTENANCE CONTROL AND INSTRUMENTATION,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR PLC / DCS,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR - PROCESS OPERATIONS,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SUPERVISOR MECHANICAL MAINTENANCE UPSTREAM,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,"Microsoft Office, Risk Analysis"
SENIOR ENGINEER - ELECTRICAL,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Risk Analysis
SHIFT METALLURGY,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Metalurgi",KAB. SUMBAWA BARAT,Microsoft Office
TECHNICIAN - MECHANICAL,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Mesin",KAB. SUMBAWA BARAT,Interface Design
TECHNICIAN - ELECTRICAL,PT. Amman Mineral Nusa Tenggara/84457,"Teknik, Elektro",KAB. SUMBAWA BARAT,Patents
SPECIALIST DIGITAL MARKETING & CUSTOMER ENGAGEMENT,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
SENIOR SPECIALIST INVOICE & COST CONTROL,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
SENIOR SPECIALIST INTERNAL CUSTOMS AUDIT,PT. Amman Mineral Nusa Tenggara/84457,Bagian Umum,KAB. SUMBAWA BARAT,Microsoft Office
Office Manager,PT Mega Metalindo Abadi,Manufaktur dan Produksi,KOTA PANGKAL PINANG,"Microsoft Excel, Microsoft Office"
Junior / Senior Chief HSSE,PT. Standard Toyo Polymer,Manufaktur dan Produksi,KOTA CILEGON,"Environment, K3, Regu Pemadam C, Safety Officer"
Admin Ekspedisi,PT Saranagriya Lestari Keramik (Milan Ceramics Tile),Operasi Gudang,KOTA BEKASI,"Microsoft Office, Office Admin, SAP"
OPERATOR CNC ROUTER,PT Tedmoninndo Pratamasemesta,Manufaktur dan Produksi,KAB. SIDOARJO,"Design, Cad"
Climate Finance Analyst,Perusahaan Perseroan (Persero) PT. Sarana Multi Infrastruktur,Penelitian dan Manajemen Kualitas,Jakarta,"Research, Financial Modelling & Valuation"
Operations Assistant & Translator Mandarin,PT Doo Financial Futures,Administrasi & Customer Relationship,Jakarta,"Microsoft Excel, Simplified Chinese Language, Sales & Marketing, Operations"
KARYAWAN PENGIRIMAN SIM A/B+C,PT. Wira Mitramas Sejati,Supir,Jakarta,Microsoft Office
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,KAB. GIANYAR,"Disiplin, mengitung, komunikasi, intregitas, Jujur, Customer Service"
