Title,Perusahaan,Kategori,Lokasi,Skills
Social Media Specialist,Prime Project Indonesia,Social Media Specialist,Tangerang,"Mampu mengaplikasikan social media dengan baik, Bahasa Inggris. Sangat mahir berbicara, membaca, dan menulis dalam bahasa Inggris."
Marketing Executive,Sansan Yosindo,Marketing Executive,Jakarta Pusat,"Pemasaran media sosial, Pemasaran produk, Pemasaran, negosiasi, Kerja Dalam Tim, b2c marketing sales"
Social Media Content Creator Manager,Twofolks Design,Content Creator,Jakarta Timur,"Canva, Social Media Management, Adobe, Content creation, Meta Ads Facebook dan Instagram, Menguasai Adobe Tools Premiere ProPhotoshopIllustrator Menguasai aplikasi konten berbasis mobile CanvaSnapseedCapcut Menguasai kamera DSLRmirrorless dan videografi Memiliki kemampuan untuk menyusun copy untuk konten sosial media. Memahami pe"
Digital Marketing Specialist,PT. Bangun Sukses Material,Digital Marketing,Bekasi,"Editing Adobe photoshop Adobe After effect., Marketing communication, Digital Content Management, Digital Marketing, Digital Analyst, Marketing E-commerce, market place, Vidio editing, Desig graphics., Canv pro"
Marketing Advertiser,PT Roobas Sukses Bersaudara,Digital Ads Specialist,Bogor,"Google Ads, B2B Marketing"
Content Creator,YAYASAN PILAR INSAN NUSANTARA,Content Creator,Kabupaten Tangerang,"Menguasa editing video melalui canva, capcut, dan aplikasi lainnya yg mendukung. 2. Menguasai komputer microsoft office."
Marketing Staff,PT Rajawali Persada Group,Marketing Executive,Tangerang,"Negosiasi, Komunikasi dan interaksi, Can speak English both spoken and written - Negotiation"
Social Media Marketing,PT. Puremei Delicat Indonesia,Social Media Marketing,Kabupaten Tangerang,"Video Editing, Edit foto, Cepat, rajin dan jujur"
Digital Marekting,Else Artflow,Digital Marketing,Jakarta Utara,"Canva - Mahir menggunakan e-commerce - Mampu mengoperasikan sosial media Instagram, Facebook, Tiktok"
Content Creator,Seri Women Shop,Content Creator,Jakarta Barat,Conten Creator
Senior Marketing Interior,PT MOSAIC MULTI KREASI,Senior Marketing,Tangerang,"marketing, Administrasi, Komunikasi dan negosiasi dengan baik., S Curve and Progress Report, Database Marketing"
